0	1	100
0	17	100
0	18	141
1	0	100
1	2	90
1	19	135
2	1	90
2	3	100
3	2	100
3	4	100
3	21	141
4	3	100
4	5	90
5	4	90
5	21	135
6	7	100
6	21	90
7	6	100
7	8	80
8	7	80
8	24	206
9	29	127
10	11	100
11	10	100
11	12	100
11	28	90
12	11	100
12	13	80
12	28	135
13	12	80
13	14	110
14	13	110
14	15	90
15	14	90
15	16	100
15	26	100
16	15	80
16	17	100
17	0	100
17	16	100
18	0	141
18	22	100
18	23	135
19	1	135
19	20	100	
20	19	100	
20	23	141
20	25	141
21	3	141
21	5	135
21	6	90
21	25	100
22	18	100
22	23	90
22	27	120
23	18	135
23	20	141
23	22	90
23	27	80
24	8	206
24	28	80
24	29	128
25	20	141
25	21	100
26	15	100
26	27	90
27	22	120
27	23	80
27	27	90
28	11	90
28	12	135
28	24	80
29	9	127
29	24	128

